"Food_Code","Main_Food_Description","Subcode_Description","WWEIA_Category_Description","Portion_Description","Portion_Weight_(g)"
"54408415","pretzels, soft, ready-to-eat, salted, no butter",NA,"pretzels/snack mix","small","62"
"54408415","pretzels, soft, ready-to-eat, salted, no butter",NA,"pretzels/snack mix","medium/regular","120"
"54408415","pretzels, soft, ready-to-eat, salted, no butter",NA,"pretzels/snack mix","large","143"
"54408415","pretzels, soft, ready-to-eat, salted, no butter",NA,"pretzels/snack mix","pretzel, ns as to size","120"
"54408415","pretzels, soft, ready-to-eat, salted, no butter",NA,"pretzels/snack mix","pretzel stick","21"
"54408415","pretzels, soft, ready-to-eat, salted, no butter",NA,"pretzels/snack mix","cup, nuggets","147"
"54408415","pretzels, soft, ready-to-eat, salted, no butter",NA,"pretzels/snack mix","quantity not specified","120"
"54408416","pretzels, soft, ready-to-eat, unsalted, no butter",NA,"pretzels/snack mix","bite size/nugget","14"
"54408416","pretzels, soft, ready-to-eat, unsalted, no butter",NA,"pretzels/snack mix","small","62"
"54408416","pretzels, soft, ready-to-eat, unsalted, no butter",NA,"pretzels/snack mix","medium/regular","120"
"54408416","pretzels, soft, ready-to-eat, unsalted, no butter",NA,"pretzels/snack mix","large","143"
"54408416","pretzels, soft, ready-to-eat, unsalted, no butter",NA,"pretzels/snack mix","pretzel, ns as to size","120"
"54408416","pretzels, soft, ready-to-eat, unsalted, no butter",NA,"pretzels/snack mix","pretzel stick","21"
"54408416","pretzels, soft, ready-to-eat, unsalted, no butter",NA,"pretzels/snack mix","cup, nuggets","147"
"54408416","pretzels, soft, ready-to-eat, unsalted, no butter",NA,"pretzels/snack mix","quantity not specified","120"
"54408420","pretzels, soft, ready-to-eat, cinnamon sugar coated",NA,"pretzels/snack mix","bite size/nugget","14"
"54408420","pretzels, soft, ready-to-eat, cinnamon sugar coated",NA,"pretzels/snack mix","small","74"
"54408420","pretzels, soft, ready-to-eat, cinnamon sugar coated",NA,"pretzels/snack mix","medium/regular","147"
"54408420","pretzels, soft, ready-to-eat, cinnamon sugar coated",NA,"pretzels/snack mix","large","175"
"54408420","pretzels, soft, ready-to-eat, cinnamon sugar coated",NA,"pretzels/snack mix","pretzel, ns as to size","147"
"54408420","pretzels, soft, ready-to-eat, cinnamon sugar coated",NA,"pretzels/snack mix","pretzel stick","25"
"54408420","pretzels, soft, ready-to-eat, cinnamon sugar coated",NA,"pretzels/snack mix","cup, nuggets","168"
"54408420","pretzels, soft, ready-to-eat, cinnamon sugar coated",NA,"pretzels/snack mix","quantity not specified","147"
"54408422","pretzels, soft, ready-to-eat, coated or flavored",NA,"pretzels/snack mix","bite size/nugget","14"
"54408422","pretzels, soft, ready-to-eat, coated or flavored",NA,"pretzels/snack mix","small","65"
"54408422","pretzels, soft, ready-to-eat, coated or flavored",NA,"pretzels/snack mix","medium/regular","125"
"54408422","pretzels, soft, ready-to-eat, coated or flavored",NA,"pretzels/snack mix","large","149"
"54408422","pretzels, soft, ready-to-eat, coated or flavored",NA,"pretzels/snack mix","pretzel, ns as to size","125"
"54408422","pretzels, soft, ready-to-eat, coated or flavored",NA,"pretzels/snack mix","pretzel stick","25"
"54408422","pretzels, soft, ready-to-eat, coated or flavored",NA,"pretzels/snack mix","cup, nuggets","168"
"54408422","pretzels, soft, ready-to-eat, coated or flavored",NA,"pretzels/snack mix","quantity not specified","125"
"54408430","pretzels, soft, ready-to-eat, topped with meat",NA,"pretzels/snack mix","bite size/nugget","14"
"54408430","pretzels, soft, ready-to-eat, topped with meat",NA,"pretzels/snack mix","small","74"
"54408430","pretzels, soft, ready-to-eat, topped with meat",NA,"pretzels/snack mix","medium/regular","147"
"54408430","pretzels, soft, ready-to-eat, topped with meat",NA,"pretzels/snack mix","large","175"
"54408430","pretzels, soft, ready-to-eat, topped with meat",NA,"pretzels/snack mix","pretzel, ns as to size","147"
"54408430","pretzels, soft, ready-to-eat, topped with meat",NA,"pretzels/snack mix","pretzel stick","25"
"54408430","pretzels, soft, ready-to-eat, topped with meat",NA,"pretzels/snack mix","cup, nuggets","168"
"54408430","pretzels, soft, ready-to-eat, topped with meat",NA,"pretzels/snack mix","quantity not specified","147"
"54408432","pretzels, soft, ready-to-eat, topped with cheese",NA,"pretzels/snack mix","bite size/nugget","14"
"54408432","pretzels, soft, ready-to-eat, topped with cheese",NA,"pretzels/snack mix","small","74"
"54408432","pretzels, soft, ready-to-eat, topped with cheese",NA,"pretzels/snack mix","medium/regular","147"
"54408432","pretzels, soft, ready-to-eat, topped with cheese",NA,"pretzels/snack mix","large","175"
"54408432","pretzels, soft, ready-to-eat, topped with cheese",NA,"pretzels/snack mix","pretzel, ns as to size","147"
"54408432","pretzels, soft, ready-to-eat, topped with cheese",NA,"pretzels/snack mix","pretzel stick","25"
"54408432","pretzels, soft, ready-to-eat, topped with cheese",NA,"pretzels/snack mix","cup, nuggets","168"
"54408432","pretzels, soft, ready-to-eat, topped with cheese",NA,"pretzels/snack mix","quantity not specified","147"
"54408450","pretzels, soft, from frozen, nfs",NA,"pretzels/snack mix","medium/regular","71"
"54408450","pretzels, soft, from frozen, nfs",NA,"pretzels/snack mix","pretzel, ns as to size","71"
"54408450","pretzels, soft, from frozen, nfs",NA,"pretzels/snack mix","bite size/nugget","14"
"54408450","pretzels, soft, from frozen, nfs",NA,"pretzels/snack mix","pretzel stick","21"
"54408450","pretzels, soft, from frozen, nfs",NA,"pretzels/snack mix","cup, nuggets","147"
"54408450","pretzels, soft, from frozen, nfs",NA,"pretzels/snack mix","quantity not specified","71"
"54408455","pretzels, soft, from frozen, salted",NA,"pretzels/snack mix","medium/regular","71"
"54408455","pretzels, soft, from frozen, salted",NA,"pretzels/snack mix","pretzel, ns as to size","71"
"54408455","pretzels, soft, from frozen, salted",NA,"pretzels/snack mix","bite size/nugget","14"
"54408455","pretzels, soft, from frozen, salted",NA,"pretzels/snack mix","pretzel stick","21"
"54408455","pretzels, soft, from frozen, salted",NA,"pretzels/snack mix","cup, nuggets","147"
"54408455","pretzels, soft, from frozen, salted",NA,"pretzels/snack mix","quantity not specified","71"
"54408456","pretzels, soft, from frozen, unsalted",NA,"pretzels/snack mix","medium/regular","71"
"54408456","pretzels, soft, from frozen, unsalted",NA,"pretzels/snack mix","pretzel, ns as to size","71"
"54408456","pretzels, soft, from frozen, unsalted",NA,"pretzels/snack mix","bite size/nugget","14"
"54408456","pretzels, soft, from frozen, unsalted",NA,"pretzels/snack mix","pretzel stick","21"
"54408456","pretzels, soft, from frozen, unsalted",NA,"pretzels/snack mix","cup, nuggets","147"
"54408456","pretzels, soft, from frozen, unsalted",NA,"pretzels/snack mix","quantity not specified","71"
"54408460","pretzels, soft, from frozen, cinnamon sugar coated",NA,"pretzels/snack mix","medium/regular","71"
"54408460","pretzels, soft, from frozen, cinnamon sugar coated",NA,"pretzels/snack mix","pretzel, ns as to size","71"
"54408460","pretzels, soft, from frozen, cinnamon sugar coated",NA,"pretzels/snack mix","bite size/nugget","14"
"54408460","pretzels, soft, from frozen, cinnamon sugar coated",NA,"pretzels/snack mix","pretzel stick","25"
"54408460","pretzels, soft, from frozen, cinnamon sugar coated",NA,"pretzels/snack mix","cup, nuggets","147"
"54408460","pretzels, soft, from frozen, cinnamon sugar coated",NA,"pretzels/snack mix","quantity not specified","71"
"54408462","pretzels, soft, from frozen, coated or flavored",NA,"pretzels/snack mix","medium/regular","71"
"54408462","pretzels, soft, from frozen, coated or flavored",NA,"pretzels/snack mix","pretzel, ns as to size","71"
"54408462","pretzels, soft, from frozen, coated or flavored",NA,"pretzels/snack mix","bite size/nugget","14"
"54408462","pretzels, soft, from frozen, coated or flavored",NA,"pretzels/snack mix","pretzel stick","21"
"54408462","pretzels, soft, from frozen, coated or flavored",NA,"pretzels/snack mix","cup, nuggets","147"
"54408462","pretzels, soft, from frozen, coated or flavored",NA,"pretzels/snack mix","quantity not specified","71"
"54408465","pretzels, soft, from frozen, topped with meat",NA,"pretzels/snack mix","medium/regular","71"
"54408465","pretzels, soft, from frozen, topped with meat",NA,"pretzels/snack mix","pretzel, ns as to size","71"
"54408465","pretzels, soft, from frozen, topped with meat",NA,"pretzels/snack mix","bite size/nugget","14"
"54408465","pretzels, soft, from frozen, topped with meat",NA,"pretzels/snack mix","pretzel stick","25"
"54408465","pretzels, soft, from frozen, topped with meat",NA,"pretzels/snack mix","cup, nuggets","147"
"54408465","pretzels, soft, from frozen, topped with meat",NA,"pretzels/snack mix","quantity not specified","71"
"54408466","pretzels, soft, from frozen, topped with cheese",NA,"pretzels/snack mix","medium/regular","71"
"54408466","pretzels, soft, from frozen, topped with cheese",NA,"pretzels/snack mix","pretzel, ns as to size","71"
"54408466","pretzels, soft, from frozen, topped with cheese",NA,"pretzels/snack mix","bite size/nugget","14"
"54408466","pretzels, soft, from frozen, topped with cheese",NA,"pretzels/snack mix","pretzel stick","25"
"54408466","pretzels, soft, from frozen, topped with cheese",NA,"pretzels/snack mix","cup, nuggets","147"
"54408466","pretzels, soft, from frozen, topped with cheese",NA,"pretzels/snack mix","quantity not specified","71"
"54408470","pretzels, soft, filled with cheese",NA,"pretzels/snack mix","medium/regular","99"
"54408470","pretzels, soft, filled with cheese",NA,"pretzels/snack mix","pretzel, ns as to size","99"
"54408470","pretzels, soft, filled with cheese",NA,"pretzels/snack mix","bite size/nugget","14"
"54408470","pretzels, soft, filled with cheese",NA,"pretzels/snack mix","pretzel stick","25"
"54408470","pretzels, soft, filled with cheese",NA,"pretzels/snack mix","cup, nuggets","147"
"54408470","pretzels, soft, filled with cheese",NA,"pretzels/snack mix","quantity not specified","99"
"54408475","pretzels, soft, from school lunch",NA,"pretzels/snack mix","medium/regular","71"
"54408475","pretzels, soft, from school lunch",NA,"pretzels/snack mix","pretzel, ns as to size","71"
"54408475","pretzels, soft, from school lunch",NA,"pretzels/snack mix","bite size/nugget","14"
"54408475","pretzels, soft, from school lunch",NA,"pretzels/snack mix","pretzel stick","21"
"54408475","pretzels, soft, from school lunch",NA,"pretzels/snack mix","cup, nuggets","147"
"54408475","pretzels, soft, from school lunch",NA,"pretzels/snack mix","quantity not specified","71"
"54408480","pretzels, soft, multigrain",NA,"pretzels/snack mix","small","62"
"54408480","pretzels, soft, multigrain",NA,"pretzels/snack mix","medium/regular","120"
"54408480","pretzels, soft, multigrain",NA,"pretzels/snack mix","large","143"
"54408480","pretzels, soft, multigrain",NA,"pretzels/snack mix","bite size/nugget","14"
"54408480","pretzels, soft, multigrain",NA,"pretzels/snack mix","pretzel stick","21"
"54408480","pretzels, soft, multigrain",NA,"pretzels/snack mix","pretzel, ns as to size","120"
"54408480","pretzels, soft, multigrain",NA,"pretzels/snack mix","cup, nuggets","147"
"54408480","pretzels, soft, multigrain",NA,"pretzels/snack mix","quantity not specified","120"
"54408485","pretzels, soft, gluten free",NA,"pretzels/snack mix","medium/regular","95"
"54408485","pretzels, soft, gluten free",NA,"pretzels/snack mix","pretzel, ns as to size","95"
"54408485","pretzels, soft, gluten free",NA,"pretzels/snack mix","bite size/nugget","14"
"54408485","pretzels, soft, gluten free",NA,"pretzels/snack mix","pretzel stick","21"
"54408485","pretzels, soft, gluten free",NA,"pretzels/snack mix","cup, nuggets","147"
"54408485","pretzels, soft, gluten free",NA,"pretzels/snack mix","quantity not specified","95"
"54408486","pretzels, soft, gluten free, cinnamon sugar coated",NA,"pretzels/snack mix","medium/regular","95"
"54408486","pretzels, soft, gluten free, cinnamon sugar coated",NA,"pretzels/snack mix","pretzel, ns as to size","95"
"54408486","pretzels, soft, gluten free, cinnamon sugar coated",NA,"pretzels/snack mix","bite size/nugget","14"
"54408486","pretzels, soft, gluten free, cinnamon sugar coated",NA,"pretzels/snack mix","pretzel stick","21"
"54408486","pretzels, soft, gluten free, cinnamon sugar coated",NA,"pretzels/snack mix","cup, nuggets","147"
"54408486","pretzels, soft, gluten free, cinnamon sugar coated",NA,"pretzels/snack mix","quantity not specified","95"
"54408487","pretzels, soft, gluten free, coated or flavored",NA,"pretzels/snack mix","medium/regular","95"
"54408487","pretzels, soft, gluten free, coated or flavored",NA,"pretzels/snack mix","pretzel, ns as to size","95"
"54408487","pretzels, soft, gluten free, coated or flavored",NA,"pretzels/snack mix","bite size/nugget","14"
"54408487","pretzels, soft, gluten free, coated or flavored",NA,"pretzels/snack mix","pretzel stick","21"
"54408487","pretzels, soft, gluten free, coated or flavored",NA,"pretzels/snack mix","cup, nuggets","147"
"54408487","pretzels, soft, gluten free, coated or flavored",NA,"pretzels/snack mix","quantity not specified","95"
"54420210","multigrain chips (sun chips)",NA,"tortilla, corn, other chips","chip","2"
"54420210","multigrain chips (sun chips)",NA,"tortilla, corn, other chips","small single serving bag","28"
"54420210","multigrain chips (sun chips)",NA,"tortilla, corn, other chips","medium single serving bag","57"
"54420210","multigrain chips (sun chips)",NA,"tortilla, corn, other chips","large single serving bag","85"
"54420210","multigrain chips (sun chips)",NA,"tortilla, corn, other chips","100 calorie package","20"
"54420210","multigrain chips (sun chips)",NA,"tortilla, corn, other chips","cup","30"
"54420210","multigrain chips (sun chips)",NA,"tortilla, corn, other chips","quantity not specified","30"
"54420220","snack mix, plain (chex mix)",NA,"pretzels/snack mix","cup","60"
"54420220","snack mix, plain (chex mix)",NA,"pretzels/snack mix","small single serving bag","28"
"54420220","snack mix, plain (chex mix)",NA,"pretzels/snack mix","medium single serving bag","57"
"54420220","snack mix, plain (chex mix)",NA,"pretzels/snack mix","large single serving bag","85"
"54420220","snack mix, plain (chex mix)",NA,"pretzels/snack mix","100 calorie package","20"
"54420220","snack mix, plain (chex mix)",NA,"pretzels/snack mix","quantity not specified","60"
"54440010","bagel chips",NA,"crackers, excludes saltines","bagel chip","5"
"54440010","bagel chips",NA,"crackers, excludes saltines","miniature/bite size","2"
"54440010","bagel chips",NA,"crackers, excludes saltines","small or medium single serving bag","45"
"54440010","bagel chips",NA,"crackers, excludes saltines","large single serving bag","85"
"54440010","bagel chips",NA,"crackers, excludes saltines","cup, pieces","60"
"54440010","bagel chips",NA,"crackers, excludes saltines","quantity not specified","18"
"54440020","cracker chips",NA,"tortilla, corn, other chips","cracker chip","3"
"54440020","cracker chips",NA,"tortilla, corn, other chips","cup, nfs","30"
"54440020","cracker chips",NA,"tortilla, corn, other chips","quantity not specified","18"
"55100005","pancakes, nfs",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100005","pancakes, nfs",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55100005","pancakes, nfs",NA,"pancakes, waffles, french toast","small pancake","20"
"55100005","pancakes, nfs",NA,"pancakes, waffles, french toast","medium pancake","50"
"55100005","pancakes, nfs",NA,"pancakes, waffles, french toast","large pancake","90"
"55100005","pancakes, nfs",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55100005","pancakes, nfs",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55100005","pancakes, nfs",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55100010","pancakes, plain, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100010","pancakes, plain, from frozen",NA,"pancakes, waffles, french toast","pancake","40"
"55100010","pancakes, plain, from frozen",NA,"pancakes, waffles, french toast","pouch","80"
"55100010","pancakes, plain, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55100015","pancakes, plain, reduced fat, from fozen",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100015","pancakes, plain, reduced fat, from fozen",NA,"pancakes, waffles, french toast","pancake","40"
"55100015","pancakes, plain, reduced fat, from fozen",NA,"pancakes, waffles, french toast","pouch","80"
"55100015","pancakes, plain, reduced fat, from fozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55100020","pancakes, with fruit, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100020","pancakes, with fruit, from frozen",NA,"pancakes, waffles, french toast","pancake","40"
"55100020","pancakes, with fruit, from frozen",NA,"pancakes, waffles, french toast","pouch","80"
"55100020","pancakes, with fruit, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55100025","pancakes, with chocolate, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100025","pancakes, with chocolate, from frozen",NA,"pancakes, waffles, french toast","frozen pancake, nfs","40"
"55100025","pancakes, with chocolate, from frozen",NA,"pancakes, waffles, french toast","pouch","80"
"55100025","pancakes, with chocolate, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55100030","pancakes, whole grain, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100030","pancakes, whole grain, from frozen",NA,"pancakes, waffles, french toast","pancake","40"
"55100030","pancakes, whole grain, from frozen",NA,"pancakes, waffles, french toast","pouch","80"
"55100030","pancakes, whole grain, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55100035","pancakes, whole grain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100035","pancakes, whole grain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","pancake","40"
"55100035","pancakes, whole grain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","pouch","80"
"55100035","pancakes, whole grain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55100040","pancakes, gluten free, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100040","pancakes, gluten free, from frozen",NA,"pancakes, waffles, french toast","pancake","40"
"55100040","pancakes, gluten free, from frozen",NA,"pancakes, waffles, french toast","pouch","80"
"55100040","pancakes, gluten free, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55100050","pancakes, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100050","pancakes, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55100050","pancakes, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","small pancake","20"
"55100050","pancakes, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","medium pancake","50"
"55100050","pancakes, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","large pancake","90"
"55100050","pancakes, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55100050","pancakes, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55100050","pancakes, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55100055","pancakes, with fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100055","pancakes, with fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55100055","pancakes, with fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","small pancake","20"
"55100055","pancakes, with fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","medium pancake","50"
"55100055","pancakes, with fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","large pancake","90"
"55100055","pancakes, with fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55100055","pancakes, with fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55100055","pancakes, with fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55100060","pancakes, with chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100060","pancakes, with chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55100060","pancakes, with chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","small pancake","20"
"55100060","pancakes, with chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","medium pancake","50"
"55100060","pancakes, with chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","large pancake","90"
"55100060","pancakes, with chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55100060","pancakes, with chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55100060","pancakes, with chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55100065","pancakes, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100065","pancakes, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55100065","pancakes, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","small pancake","20"
"55100065","pancakes, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","medium pancake","50"
"55100065","pancakes, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","large pancake","90"
"55100065","pancakes, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55100065","pancakes, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55100065","pancakes, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55100070","pancakes, whole grain and nuts, from fast food / restaurant",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100070","pancakes, whole grain and nuts, from fast food / restaurant",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55100070","pancakes, whole grain and nuts, from fast food / restaurant",NA,"pancakes, waffles, french toast","small pancake","20"
"55100070","pancakes, whole grain and nuts, from fast food / restaurant",NA,"pancakes, waffles, french toast","medium pancake","50"
"55100070","pancakes, whole grain and nuts, from fast food / restaurant",NA,"pancakes, waffles, french toast","large pancake","90"
"55100070","pancakes, whole grain and nuts, from fast food / restaurant",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55100070","pancakes, whole grain and nuts, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55100070","pancakes, whole grain and nuts, from fast food / restaurant",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55100080","pancakes, from school, nfs",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55100080","pancakes, from school, nfs",NA,"pancakes, waffles, french toast","pancake, any size","40"
"55100080","pancakes, from school, nfs",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55100080","pancakes, from school, nfs",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55101000","pancakes, plain",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55101000","pancakes, plain",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55101000","pancakes, plain",NA,"pancakes, waffles, french toast","small pancake","20"
"55101000","pancakes, plain",NA,"pancakes, waffles, french toast","medium pancake","50"
"55101000","pancakes, plain",NA,"pancakes, waffles, french toast","large pancake","90"
"55101000","pancakes, plain",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55101000","pancakes, plain",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55101000","pancakes, plain",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55101015","pancakes, plain, reduced fat",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55101015","pancakes, plain, reduced fat",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55101015","pancakes, plain, reduced fat",NA,"pancakes, waffles, french toast","small pancake","20"
"55101015","pancakes, plain, reduced fat",NA,"pancakes, waffles, french toast","medium pancake","50"
"55101015","pancakes, plain, reduced fat",NA,"pancakes, waffles, french toast","large pancake","90"
"55101015","pancakes, plain, reduced fat",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55101015","pancakes, plain, reduced fat",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55101015","pancakes, plain, reduced fat",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55103000","pancakes, with fruit",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55103000","pancakes, with fruit",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55103000","pancakes, with fruit",NA,"pancakes, waffles, french toast","small pancake","20"
"55103000","pancakes, with fruit",NA,"pancakes, waffles, french toast","medium pancake","50"
"55103000","pancakes, with fruit",NA,"pancakes, waffles, french toast","large pancake","90"
"55103000","pancakes, with fruit",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55103000","pancakes, with fruit",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55103000","pancakes, with fruit",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55103020","pancakes, pumpkin",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55103020","pancakes, pumpkin",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55103020","pancakes, pumpkin",NA,"pancakes, waffles, french toast","small pancake","20"
"55103020","pancakes, pumpkin",NA,"pancakes, waffles, french toast","medium pancake","50"
"55103020","pancakes, pumpkin",NA,"pancakes, waffles, french toast","large pancake","90"
"55103020","pancakes, pumpkin",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55103020","pancakes, pumpkin",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55103020","pancakes, pumpkin",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55103100","pancakes, with chocolate",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55103100","pancakes, with chocolate",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55103100","pancakes, with chocolate",NA,"pancakes, waffles, french toast","small pancake","20"
"55103100","pancakes, with chocolate",NA,"pancakes, waffles, french toast","medium pancake","50"
"55103100","pancakes, with chocolate",NA,"pancakes, waffles, french toast","large pancake","90"
"55103100","pancakes, with chocolate",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55103100","pancakes, with chocolate",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55103100","pancakes, with chocolate",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55105000","pancakes, buckwheat",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55105000","pancakes, buckwheat",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55105000","pancakes, buckwheat",NA,"pancakes, waffles, french toast","small pancake","20"
"55105000","pancakes, buckwheat",NA,"pancakes, waffles, french toast","medium pancake","50"
"55105000","pancakes, buckwheat",NA,"pancakes, waffles, french toast","large pancake","90"
"55105000","pancakes, buckwheat",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55105000","pancakes, buckwheat",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55105000","pancakes, buckwheat",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55105100","pancakes, cornmeal",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55105100","pancakes, cornmeal",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55105100","pancakes, cornmeal",NA,"pancakes, waffles, french toast","small pancake","20"
"55105100","pancakes, cornmeal",NA,"pancakes, waffles, french toast","medium pancake","50"
"55105100","pancakes, cornmeal",NA,"pancakes, waffles, french toast","large pancake","90"
"55105100","pancakes, cornmeal",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55105100","pancakes, cornmeal",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55105100","pancakes, cornmeal",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55105200","pancakes, whole grain",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55105200","pancakes, whole grain",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55105200","pancakes, whole grain",NA,"pancakes, waffles, french toast","small pancake","20"
"55105200","pancakes, whole grain",NA,"pancakes, waffles, french toast","medium pancake","50"
"55105200","pancakes, whole grain",NA,"pancakes, waffles, french toast","large pancake","90"
"55105200","pancakes, whole grain",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55105200","pancakes, whole grain",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55105200","pancakes, whole grain",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55105205","pancakes, whole grain, reduced fat",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
